I.D,x-coord,y-coord,Attraction points_Proximity,Attraction points_Availability,Performing art_Proximity,Performing art_Availability,Cinemas_Proximity,Cinemas_Availability,Cafes_Proximity,Cafes_Availability,Restaurants_Proximity,Restaurants_Availability,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5
1914,9378.735,8775.115,0.678161,0.888889,0.73913,0.866667,0.787037,1,0.981818,0.267635,0.863636,0.122494,1,1,1,1,1,1
1915,9478.66,8778.395,0.655172,0.777778,0.717391,0.866667,0.768519,0.875,0.945455,0.176349,0.863636,0.100223,0.983871,0.983871,0.985769,0.995331,0.996864,0.984447
1916,9578.585,8781.675,0.655172,0.8,0.717391,0.866667,0.768519,0.9625,0.945455,0.198133,0.863636,0.115256,0.983871,0.983871,0.985769,0.995331,0.996864,0.984447
1917,9678.51,8784.955,0.666667,0.888889,0.728261,0.906667,0.777778,1,0.963636,0.229253,0.909091,0.125278,0.983871,0.983871,0.985769,0.995331,0.996864,0.984447
1918,9778.43,8788.23,0.678161,0.888889,0.75,1,0.787037,1,0.981818,0.253112,0.954545,0.134187,0.983871,0.983871,0.985769,0.995331,0.996864,0.984447
1919,9878.355,8791.51,0.689655,0.888889,0.75,1,0.796296,1,0.981818,0.213693,0.954545,0.13196,0.994898,0.989583,0.5,0.5,0.5,0.732143
1920,9978.28,8794.79,0.689655,0.888889,0.75,0.933333,0.796296,0.75,0.945455,0.073651,0.863636,0.061804,0.994898,0.989583,0.5,0.5,0.5,0.732143
1921,10377.98,8807.91,0.701149,0.944444,0.76087,0.933333,0.805556,0.75,0.909091,0.051867,0.954545,0.077951,0.857143,0.857143,0.87395,0.958647,0.972222,0.862245
1922,10477.905,8811.19,0.689655,0.922222,0.76087,0.886667,0.796296,0.75,0.909091,0.044606,0.909091,0.074053,0.857143,0.857143,0.87395,0.958647,0.972222,0.862245
1923,11277.3,8837.43,0.701149,0.888889,0.836957,0.866667,0.861111,0.875,0.890909,0.186722,1,0.167038,0.99949,0.998958,0.95,0.95,0.95,0.973214
1924,12176.625,8866.95,0.632184,0.888889,0.98913,0.933333,0.990741,0.875,0.927273,0.020747,0.909091,0.089087,1,1,1,1,1,1
1925,12776.18,8886.625,0.551724,0.888889,0.891304,1,0.87037,0.875,0.927273,0.134855,0.863636,0.077951,1,1,0.970588,0.921053,0.916667,0.964286
1926,12876.105,8889.905,0.563218,0.888889,0.902174,1,0.87963,0.875,0.909091,0.121369,0.863636,0.104677,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
1927,12976.03,8893.185,0.574713,0.888889,0.902174,1,0.888889,0.875,0.872727,0.096473,0.909091,0.130846,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
1928,13075.955,8896.465,0.563218,0.888889,0.891304,1,0.87963,0.875,0.890909,0.123444,0.954545,0.125278,0.997449,0.994792,0.75,0.75,0.75,0.866071
1929,13175.88,8899.745,0.551724,0.888889,0.880435,1,0.87037,0.875,0.890909,0.120332,0.954545,0.118597,0.972973,0.972973,0.976153,0.992176,0.994745,0.973938
1930,13275.805,8903.025,0.528736,0.888889,0.869565,1,0.851852,0.875,0.909091,0.115145,0.954545,0.10078,1,0.989583,0.617647,0.5,0.5,0
1931,13375.73,8906.305,0.517241,0.888889,0.858696,1,0.842593,0.875,0.909091,0.102697,0.909091,0.078508,0.972973,0.972973,0.976153,0.992176,0.994745,0.973938
1932,13475.655,8909.585,0.505747,0.888889,0.836957,1,0.833333,0.875,0.909091,0.112033,0.863636,0.085746,0.972973,0.972973,0.976153,0.992176,0.994745,0.973938
1933,13575.585,8912.865,0.494253,0.888889,0.826087,1,0.842593,0.875,0.909091,0.19917,0.818182,0.068486,0.972973,0.972973,0.976153,0.992176,0.994745,0.973938
1934,13675.51,8916.145,0.45977,0.888889,0.793478,0.933333,0.87037,0.875,0.981818,0.077801,0.772727,0.033408,0.97561,0.97561,0.978479,0.99294,0.995257,0.976481
1935,13775.435,8919.425,0.436782,0.888889,0.771739,0.933333,0.87037,0.875,0.963636,0.062241,0.727273,0.022829,0.97561,0.97561,0.978479,0.99294,0.995257,0.976481
1936,6084.53,8566.955,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1
1937,6184.455,8570.235,0.448276,0.333333,0.771739,0.266667,0.777778,0.2875,0.945455,0.059129,0.772727,0.016704,1,1,1,1,1,1
1938,6284.38,8573.515,0.436782,0.333333,0.771739,0.266667,0.777778,0.25,0.963636,0.062241,0.818182,0.016704,0.966667,0.966667,0.970588,0.990351,0.993519,0.967857
1939,6384.3,8576.795,0.436782,0.333333,0.771739,0.266667,0.777778,0.25,0.945455,0.062241,0.818182,0.016704,0.966667,0.966667,0.970588,0.990351,0.993519,0.967857
1940,6484.225,8580.075,0.425287,0.333333,0.782609,0.266667,0.787037,0.25,0.945455,0.065353,0.863636,0.016704,0.966667,0.966667,0.970588,0.990351,0.993519,0.967857
1941,6584.15,8583.355,0.413793,0.333333,0.782609,0.266667,0.787037,0.25,0.927273,0.068465,0.863636,0.016704,0.966667,0.966667,0.970588,0.990351,0.993519,0.967857
1942,6684.07,8586.635,0.402299,0.333333,0.782609,0.233333,0.787037,0.25,0.909091,0.067427,0.818182,0.016704,1,1,1,1,1,1
1943,8782.47,8655.51,0.586207,0.666667,0.641304,0.8,0.703704,1,0.854545,0.051867,0.772727,0.016704,0.928571,0.928571,0.936975,0.979323,0.986111,0.931122
